Job_Number,Part_Decription,Surface_Area ,Actl_Mean_Consmpn,Theortcl_Consmpn_Efficnc15,Theortcl_Consmpn_Efficnc25,LSL,USL
2,7 Long Stabs,12.54382927,166.26,85.89952017,143.1658669,143.1658669,238.6097782
13,7 Short Stabs,10.13031532,139.85,69.37189644,115.6198274,115.6198274,192.6997123
19,Boom and Dipper (310 SL  315 SL Boom and Ext. Dipper w Thumb),66.37743744,1025,454.5493966,757.5823277,757.5823277,1262.637213
34,SSL Large Mainframe,235.9186178,2783,1615.558984,2692.598306,2692.598306,4487.663844
38,Boom and Dipper (310SL 325L Boom and Ext. Dipper),66.37743744,1031.23,454.5493966,757.5823277,757.5823277,1262.637213
41,Boom and Dipper (310SL325SL Boom and Std. Dipper),65.83648749,1005.23,450.8449982,751.4083303,751.4083303,1252.347217
42,Boom and Dipper (310 SL  315 SL Boom and Std. Dipper w Thumb),65.83648749,1057,450.8449982,751.4083303,751.4083303,1252.347217
46,6 710 Stabs,12.54004038,170.22,85.87357403,143.1226234,143.1226234,238.5377057
57,710 LLA,63.29190803,1379,433.4198444,722.3664073,722.3664073,1203.944012
68,4 Long Stabs and Slider,12.54382927,178.1,85.89952017,143.1658669,143.1658669,238.6097782
76,4 SSL V- Plenum,20.45604952,238.2,140.0820117,233.4700195,233.4700195,389.1166991
77,4 SSL U-Plenum,28.45488086,336.8,194.8576116,324.7626861,324.7626861,541.2711435
84,4 Large SSL Upper Links,11.50841781,183.6,78.80907389,131.3484565,131.3484565,218.9140941
110,4 Mid SSL Upper Links,10.0170673,141.9,68.59637962,114.3272994,114.3272994,190.545499
111,Small SSL Mainframe Radial,238.7514539,3216,1634.958105,2724.930174,2724.930174,4541.550291
120,Boom and Dipper (410 L  410 TL Boom and Ext. Dipper w Thumb),71.71053484,1121.13,491.0701829,818.4503048,818.4503048,1364.083841
131,Boom and Dipper (410 L Boom and Std. Dipper w Thumb),73.74688298,1050.41,505.0149939,841.6916564,841.6916564,1402.819427
132,Boom and Dipper (410 L Boom and Ext. Dipper),71.71053484,1112.8,491.0701829,818.4503048,818.4503048,1364.083841
143,Boom and Dipper (410 L Boom and Std. Dipper),73.74688298,1072.09,505.0149939,841.6916564,841.6916564,1402.819427
160,4 Small Upper links,11.91048215,191.5,81.56239053,135.9373175,135.9373175,226.5621959
178,SSL Mid Frameframe,187.6083976,2620,1284.732994,2141.221656,2141.221656,3568.702761
216,5 BHL Couplers,7.869347359,221.7,53.88890008,89.81483347,89.81483347,149.6913891
222,Small SSL Mainframe Vertical,238.7514539,2755,1634.958105,2724.930174,2724.930174,4541.550291
234,Boom and Dipper (310 L Boom and Ext. Dipper),72.84717905,1052.62,498.853866,831.42311,831.42311,1385.705183
235,Boom and Dipper (310 L Boom and Ext. Dipper w Thumb),72.84717905,1062,498.853866,831.42311,831.42311,1385.705183
236,Boom and Dipper (310 L Boom and Std. Dipper),63.08520864,994.08,432.0043772,720.0072954,720.0072954,1200.012159
261,310/410 LLA,45.03,771.1,308.3632047,513.9386745,513.9386745,856.5644575
284,LLA w/ Coupler,52.88425438,849.1,362.1487488,603.581248,603.581248,1005.968747
310,310 Mainframe,194.3299437,2356,1330.761808,2217.936347,2217.936347,3696.560578
325,315/325 Mainframe,235.6372172,2620,1613.631966,2689.386611,2689.386611,4482.311018
345,Boom and Dipper (310 HL Boom and Ext. Dipper),66.85881311,1051.37,457.8458333,763.0763888,763.0763888,1271.793981
346,Boom and Dipper (310 HL Boom and Ext. Dipper w Thumb),66.85881311,1061,457.8458333,763.0763888,763.0763888,1271.793981
410,410 Mainframe,206.7897714,2470,1416.08609,2360.143483,2360.143483,3933.572471
495,SSL Small Track Frame,28.50870582,460.4,195.2262023,325.3770038,325.3770038,542.2950063
500,SSL Large Track Frame,37.56995059,492.9,257.2771567,428.7952611,428.7952611,714.6587685
505,Mid SSL Track Frame,259.019107,2964,1773.749987,2956.249978,2956.249978,4927.083297
710,710 Mainframe,39.36623032,477.5,269.5779911,449.2966518,449.2966518,748.827753
735,710 Ext. Dipper,80.63904852,961.43,552.2122013,920.3536689,920.3536689,1533.922782
741,710 Boom,37.89420231,500.84,259.4976164,432.4960273,432.4960273,720.8267121
749,710 Std. Dipper,,,,,,
