"","Job_Number","paint_volume","Date_of_Paint","paintDiv"
"1","76",920.78,"2020-04-27",230.19
"2","76",910.31,"2020-04-27",227.58
"3","76",953.86,"2020-04-27",238.47
"4","76",942.27,"2020-04-27",235.57
"5","76",962.53,"2020-04-27",240.63
"6","76",942.1,"2020-04-27",235.53
"7","76",952.25,"2020-04-27",238.06
"8","76",920.7,"2020-04-27",230.18
"9","76",936.08,"2020-04-27",234.02
"10","76",922.47,"2020-04-28",230.62
"11","76",940.94,"2020-04-28",235.24
"12","76",958.02,"2020-04-28",239.5
"13","76",949.2,"2020-04-28",237.3
"14","76",899.12,"2020-04-29",224.78
"15","76",911.28,"2020-04-29",227.82
"16","76",899.62,"2020-04-29",224.91
"17","76",896.59,"2020-04-29",224.15
"18","76",910.14,"2020-04-29",227.53
"19","76",910.67,"2020-04-29",227.67
"20","76",902.36,"2020-04-30",225.59
"21","76",886.74,"2020-04-30",221.69
"22","76",883.85,"2020-04-30",220.96
"23","76",902.45,"2020-04-30",225.61
"24","76",892.97,"2020-04-30",223.24
"25","76",886.97,"2020-04-30",221.74
"26","76",915.25,"2020-04-30",228.81
"27","76",905.97,"2020-04-30",226.49
"28","76",922.5,"2020-04-30",230.62
"29","76",899.46,"2020-04-30",224.87
"30","76",898.39,"2020-05-01",224.6
"31","76",891.24,"2020-05-01",222.81
"32","76",897.61,"2020-05-01",224.4
"33","76",927.66,"2020-05-01",231.91
"34","76",890.35,"2020-05-04",222.59
"35","76",884.19,"2020-05-04",221.05
"36","76",901.19,"2020-05-04",225.3
